"Frase", Sentimento
"o layout do wpp pra android é tão feio meu deus só troquei pra iphone por conta disso","alegria"
"Sabe aquele ditado, melhor pagar caro em algo de qualidade do que no barato que logo depois deixar você na mão? iPhone tem suas qualidades e seus defeitos! Troquei recentemente o meu 7 pelo 8 plus por conta de trabalho, mais é algo que não me arrependo.","alegria"
"todo dia um fã de xiaomi me julgando pq troquei o meu pelo iPhone","alegria"
"Eu queria saber como vcs estragam tanto carregador de iPhone, to com o meu a 2 anos e troquei de carregador só 1x","alegria"
"Voce quer zerado ou semi novo? Eu comprei o meu iphone 8 no site enjoei, dai troquei pro iphone x e comprei no mercado livre mesmo. Mas ambos eram semi novos, mas em perfeitas condições.","alegria"
"A vrdd é que eu não ligo nem um pouquinho pra ter celular caro e atual, só troco o meu quando se torna insustentável viver com ele. Eu fiquei 5 anos com meu iphone 5c e só troquei porque ele morreu de velhice, senão estaria com ele até hoje kkkk","alegria"
"meu 4º foi um iphone 3g, mas fiquei pouco tempo e logo troquei","alegria"
"Troquei meu iPhone por um xiaomi e melhor coisa que eu fiz","alegria"
"iplace deve ser mais caro, vai no maceio iphone, é na frente do maceió shopping, troquei a tela do meu la","alegria"
"Eu tive um roxo aí usei um dia e parei de usar aí depois fui ter um da lg dps um k10 dps um Lenovo vibe k6 que troquei com meu pai e agora tenho o iPhone 6","alegria"
"Eu que troquei meu iPhone no xiaomi, por enquanto não me arrependo de nada","alegria"
"Troquei meu Android por iPhone de novo, já to arrependida","tristeza"
"e o atual é o meu lindinho iphone SE, estou com ele desde 2017 foi por ele que eu troquei quando o nokia pifou, pra mim foi um salto e tanto pq mudar de windows phone pra um ios a diferença é GIGANTE não dá nem pra comprar. E por enquanto to amando tudo nele","alegria"
"- troquei o iphone pôr um cel bolado.. agr tenho q vende esse meu","alegria"
"amg????? meus samsung duram anos, agr troquei pro xiaomi com mt pesar mas amo samsung, meu preconceito e com iphone ja q meu unico q tive explodiu","tristeza"
"troquei de um iphone pra outro celular e to até agora assim sem palavras pra como é a experiência de não ter carregado ele nas últimas 12 horas e ainda ter bateria HORRORES já fazem 30 horas que eu não carrego o celular MEU DEUS","alegria"
"|| Troquei de iPhone e deu meu antigo para a minha sobrinha, ela me agradeceu tanto mds","alegria"
"A sim, vi algumas pessoas reclamando, mas só quem tinha iphone, bom eu atualizei o meu wpp, entrei, troquei do wifi p dado e dps voltei p wifi e deu certo, ta normal agr","alegria"
"do tanto d vez q eu troquei a tela do meu moto g6 eu já tinha comprado um iphone","tristeza"
"Tenho um quarto meu, pq moro sozinha E tenho iphone pq troquei no celular que eu comprei com meu dinheiro","alegria"
"Melhor escolha q eu fiz foi não querer festa de 15 e viagem kkkk ganhei só meu iPhone. Troquei a festa e a viagem pelos meus presentes de 18... um carro e meu silicone és ainda to pensando se faço rino tb","alegria"
"Pqp troquei de iPhone pedi minhas fotos, esqueci de por pra salva no meu iCloud","tristeza"
"Crl. Troquei meu cel essa semana O boy hoje me deu de presente outro iPhone melhor aindaaaa Que issoooo, to apaixonada","alegria"
"Troquei a porra do meu iPhone tô com 1 arrependimento fdd","tristeza"
"fodase troquei o meu xr pelo iphone 7plus fds","alegria"
"eu troquei meu iphone 7 por um xiaomi mi8 lite mas tô querendo voltar, a tela já rachou e eu não gostei da câmera","tristeza"
"Troquei meu iPhone no Android, pior decisão desse ano affff","tristeza"
"Troquei a bateria do meu iphone, coloquei uma original ficou bom dms clk","alegria"
"Faz 2 meses que troquei de celular para um iphone, quero voltar pro meu antigo Samsung J3","tristeza"
"Troquei a tela do meu iPhone ali com Fael Ficou 200% melhor do que antes de ter quebrado","alegria"
"simm, qd eu usava e troquei meu cel p iphone, procurei na net se tinha e dizia q não, mas já tem uns 2 anos eu acho, n sei se já botaram p IOS","alegria"
"Troquei a capinha do meu celular e não usava uma capinha rosa desde que eu tinha iPhone","alegria"
"Parece que troquei meu iPhone 6 em um iPad mano, que celular grandee","alegria"
"Medo de comprar um redmi e ser q nem o samsung, dps q troquei do meu iphone não consegui me acostumar com a mnh câmera do samsung","tristeza"
"Eu troquei qnd tinha o iphone 5, lá nos EUA, mas só pude trocar pq foi confirmado que o lote do meu celular veio com problema na bateria","alegria"
"Troquei meu iPhone","alegria"
"eu juro que ainda não acostumei com o tamanho do meu celular desde que troquei ele sdds iPhone 6s aquele tamanho dele era perfeito","tristeza"
"Troquei meu iphone agora to zerada de grana Se eu quiser passar carnaval em algum lugar vai ter que ser num retiro","tristeza"
"Pensando em pegar o iPhone 7plus mas vou ficar sem dinheiro nenhum dnv e faz nem 1 ano que troquei de celular","alegria"
"Sabe aquele ditado, melhor pagar caro em algo de qualidade do que no barato que logo depois deixar você na mão? iPhone tem suas qualidades e seus defeitos! Troquei recentemente o meu 7 pelo 8 plus por conta de trabalho, mais é algo que não me arrependo.","alegria"
"Troquei a tela do meu iPhone depôs de um ano, só pq tá sem película","alegria"
"senhor eu troquei um iphone 8 plus por um xiaomi certa eu","alegria"
"TROQUEI DE IPHONE GLORIA DEUS","alegria"
"iphone 8 plus melhor q o x mds pq troquei","tristeza"
"em três anos com o mesmo iphone, eu nunca troquei de carregador, bjs","alegria"
"Troquei a capinha do IPhone, parece até q comprei uma roupa nova, da até leveza kkk","alegria"
"Ano passado chegou umas do meu antigo iPhone 7 que troquei a mais de 3 anos kkkkkkkkkk","alegria"
"Troquei de iPhone","alegria"
"Troquei de celular e me arrependi ,quero meu iPhone de volta","alegria"
"eu troquei de celular e peguei um samsung , não fiquei um mês com ele e voltei pro iphone","alegria"
"- troquei o iphone pôr um cel bolado.. agr tenho q vende esse meu","alegria"
"Fiquei com fogo de trocar de celular logo, aí depois q troquei me arrependi pq o iPhone ficou barato na Black Friday, aí agora o iPhone tá caro a Taty quer me dá, mas vou esperar até meio do ano pra ver se o q eu quero abaixa um pouco","tristeza"
"Ainda bem que não troquei pro Iphone 11, essa quebra de display teria sido uma baita facada","alegria"
"troquei festa e iphone por viagem e to mto feliz por isso","alegria"
"Eu queria saber como vcs estragam tanto carregador de iPhone, to com o meu a 2 anos e troquei de carregador só 1x","alegria"
"Troquei meu iPhone por um xiaomi e melhor coisa que eu fiz","alegria"
"ahah concordo!! eu troquei agr de iPhone e n consigo ouvir música e carregar o telemóvel em simultâneo","tristeza"
"ok mas em 3 meses eu - quebrei td meu iphone 8 plus - troquei por mt caro a tela - uma semana dps joguei dentro da lagoa e a placa queimou - tive que comprar um substituto - quebrei o 7 substituto - troquei a tela do substituto - quebrei total de novo - comprei outro fé","alegria"
"A sim, vi algumas pessoas reclamando, mas só quem tinha iphone, bom eu atualizei o meu wpp, entrei, troquei do wifi p dado e dps voltei p wifi e deu certo, ta normal agr","alegria"
"aqui descansa Ana Vitória eu troquei de iphone KKKKĶKKKKKKKKKKKKKKKKKK???","alegria"
"o layout do wpp pra android é tão feio meu deus só troquei pra iphone por conta disso","alegria"
"Dura sim. Sou ex usuário de iPhone e, depois que troquei, percebi o quão melhor era. O iPhone te dá a impressão de não travar, mas não é bem assim.","alegria"
"Melhor escolha q eu fiz foi não querer festa de 15 e viagem kkkk ganhei só meu iPhone. Troquei a festa e a viagem pelos meus presentes de 18... um carro e meu silicone és ainda to pensando se faço rino tb","alegria"
"Por isso troquei de celular iPhone e top mas a bateria mata","alegria"
"Caralho mané. Troquei de celular essa semana, saiu um Moto One de 64gb e entrou um Iphone Se... O ios é um sistema admirável, não tinha noção do quão bom é!","alegria"
